seed,width,height,a,adult,c,child,b,p,max[Child],max[Adult],max[AdultBackpack],max[AdultBike],max[Obstacle],max[Exit],width_i,width_ii,total_exit_time,avg_exit_time,avg_collisions_total,total_avg_occ_all_time,total_eval,evaluation_metric
20,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,16,7.733333333333333,0.06666666666666667,16.666187446812447,-0.04278408460226642,-8.866187446812447
21,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,28,10.6,0,13.881698747680892,-0.03325630171167928,-3.281698747680892
22,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,35,13.466666666666667,0.06666666666666667,18.0906351320637,-0.025082714620109116,-4.557301798730366
23,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,34,10.266666666666667,0,14.123454894778426,-0.045986063847026415,-3.8567882281117587
24,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,22,9.133333333333333,0.06666666666666667,15.998923160173156,-0.034714795008912655,-6.798923160173157
25,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,28,10.6,0.2,13.728108472215613,-0.06535918626827718,-2.928108472215614
26,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,25,9.866666666666667,0.06666666666666667,13.453496725496727,-Infinity,-3.5201633921633935
27,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,25,10.733333333333333,0,17.548229714729715,-0.03710805778831574,-6.814896381396382
28,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,25,8.4,0.06666666666666667,16.856333527583523,-0.06769250951069133,-8.389666860916856
29,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,42,9.666666666666666,0.13333333333333333,8.25292305467901,-0.09964724853860109,1.5470769453209883
30,50,50,"5,true,true","5,true,true",10,10,"3,true",8,10,"5,true,true",0,0,100,4,50,50,35,15.2,0,19.878448773448774,-0.025125101181250907,-4.678448773448775
